transaction_id,account_id,department_id,period_id,transaction_date,amount,transaction_type,description,journal_entry_id,legacy_flag
TXN0064,ACC008,DEPT07,PER005,2024-05-05,122765.48,Debit,Salaries & Benefits - May 2024,JE1063,
TXN0196,ACC014,DEPT08,PER014,2025-02-09,8445.64,CREDIT,Depreciation & Amortization - Feb 2025,JE1195,legacy_flag
TXN0056,ACC014,DEPT08,PER004,2024-04-15,,credit,Depreciation & Amortization - Apr 2024,JE1055,
TXN0204,ACC008,,PER015,2025-03-23,188189.95,Debit,Salaries & Benefits - Mar 2025,JE1203,
TXN0171,ACC003,DEPT06,PER013,01/27/2025,25026.43,Credit,Support & Maintenance Revenue - Jan 2025,JE1170,legacy_flag
TXN0281,ACC001,DEPT02,PER021,2025-09-24,310980.24,debit,Software Subscriptions - Sep 2025,JE1280,
 TXN0138,ACC012,DEPT01,PER010,2024-10-13,11554.33,Debit,Software & SaaS Tools - Oct 2024,JE1137,
TXN0194,ACC012,DEPT03,PER014,2025-02-15,10332.53,Debit,Software & SaaS Tools - Feb 2025,JE1193,
TXN0263,ACC011,DEPT08,PER019,2025-07-25,,Debit,Rent & Facilities - Jul 2025,JE1262,
TXN0234,ACC010,DEPT10,PER017,2025-05-16,6920.6,Debit,Travel & Entertainment - May 2025,JE1233,
TXN0141,ACC001,DEPT02,PER011,2024-11-12,256015.94,debit,Software Subscriptions - Nov 2024,JE1140,
TXN0180,ACC012,DEPT07,PER013,2025-01-25,14350.07,Debit,Software & SaaS Tools - Jan 2025,JE1179,legacy_flag
TXN0107,ACC009,DEPT03,PER008,08/10/2024,34596.71,Debit,Marketing & Advertising - Aug 2024,JE1106,legacy_flag
TXN0292,ACC012,DEPT07,PER021,2025-09-27,14698.08,Debit,Software & SaaS Tools - Sep 2025,JE1291,
TXN0156,ACC002,DEPT06,PER012,2024-12-05,46624.09,Credit,Professional Services Revenue - Dec 2024,JE1155,
TXN0192,ACC010,DEPT02,PER014,2025-02-28,7906.27,Debit,Travel & Entertainment - Feb 2025,JE1191,
TXN0117,ACC005,DEPT01,PER009,2024-09-14,48057.24,Debit,Cloud Infrastructure - Sep 2024,JE1116,
TXN0040,ACC012,DEPT04,PER003,2024-03-25,10798.43,Debit,Software & SaaS Tools - Mar 2024,JE1039,legacy_flag
TXN0123,ACC011,DEPT08,PER009,2024-09-14,15894.39,Debit,Rent & Facilities - Sep 2024,JE1122,
TXN0035,ACC007,DEPT06,PER003,2024-03-28,34763.24,Debit,Professional Services Delivery - Mar 2024,JE1034,legacy_flag
TXN0247,ACC009,DEPT03,PER018,2025-06-01,34831.94,Debit,Marketing & Advertising - Jun 2025,JE1246,
TXN0057,ACC001,DEPT02,PER005,05/04/2024,242982.63,Credit,Software Subscriptions - May 2024,JE1056,legacy_flag
TXN0301,ACC007,,PER022,10/15/2025,36076.76,Debit,Professional Services Delivery - Oct 2025,JE1300,
TXN0305,ACC011,DEPT08,PER022,2025-10-08,23735.94,Debit,Rent & Facilities - Oct 2025,JE1304,
TXN0076,ACC006,DEPT01,PER006,06/03/2024,18199.6,credit,Third-Party Software Licenses - Jun 2024,JE1075,
TXN0241,ACC003,DEPT06,PER018,2025-06-24,27218.03,Credit,Support & Maintenance Revenue - Jun 2025,JE1240,
TXN0326,ACC004,DEPT06,PER024,2025-12-28,28079.35,Credit,Training & Certification Revenue - Dec 2025,JE1325,
TXN0164,ACC010,DEPT10,PER012,2024-12-15,10072.14,Debit,Travel & Entertainment - Dec 2024,JE1163,
TXN0328,ACC999,DEPT07,PER024,2025-12-01,22898.26,Debit,Third-Party Software Licenses - Dec 2025,JE1327,
TXN0177,ACC009,DEPT03,PER013,2025-01-03,24936.67,Debit,Marketing & Advertising - Jan 2025,JE1176,
TXN0160,ACC006,DEPT07,PER012,2024-12-13,21263.13,Debit,Third-Party Software Licenses - Dec 2024,JE1159,
TXN0286,ACC006,DEPT07,PER021,2025-09-09,21697.04,Debit,Third-Party Software Licenses - Sep 2025,JE1285,
TXN0082,ACC012,DEPT07,PER006,2024-06-05,9155.21,Debit,Software & SaaS Tools - Jun 2024,JE1081,legacy_flag
 TXN0158,ACC004,DEPT06,PER012,2024-12-15,16830.53,Credit,Training & Certification Revenue - Dec 2024,JE1157,
TXN0239,ACC001,DEPT02,PER018,2025-06-12,318804.62,Credit,Software Subscriptions - Jun 2025,JE1238,legacy_flag
TXN0061,ACC005,DEPT01,PER005,2024-05-03,51499.77,Debit,Cloud Infrastructure - May 2024,JE1060,
TXN0032,ACC004,DEPT06,PER003,2024-03-24,,Credit,Training & Certification Revenue - Mar 2024,JE1031,legacy_flag
TXN0271,ACC005,DEPT01,PER020,2025-08-26,53753.39,Debit,Cloud Infrastructure - Aug 2025,JE1270,legacy_flag
TXN0185,ACC003,DEPT06,PER014,2025-02-16,35387.19,Credit,Support & Maintenance Revenue - Feb 2025,JE1184,
TXN0273,ACC007,DEPT06,PER020,2025-08-21,34304.11,Debit,Professional Services Delivery - Aug 2025,JE1272,
TXN0006,ACC006,DEPT07,PER001,2024-01-08,10645.7,Debit,Third-Party Software Licenses - Jan 2024,JE1005,
TXN0155,ACC001,DEPT02,PER012,2024-12-22,,Credit,Software Subscriptions - Dec 2024,JE1154,legacy_flag
TXN0169,ACC001,,PER013,01/06/2025,286563.3,Credit,Software Subscriptions - Jan 2025,JE1168,
TXN0137,ACC011,DEPT08,PER010,2024-10-14,20464.09,Debit,Rent & Facilities - Oct 2024,JE1136,
TXN0229,ACC005,DEPT01,PER017,2025-05-20,51953.8,Debit,Cloud Infrastructure - May 2025,JE1228,legacy_flag
TXN0121,ACC009,DEPT03,PER009,2024-09-20,21523.05,Debit,Marketing & Advertising - Sep 2024,JE1120,
TXN0197,ACC001,DEPT02,PER015,2025-03-01,293420.1,Credit,Software Subscriptions - Mar 2025,JE1196,
TXN0134,ACC008,DEPT03,PER010,2024-10-06,108650.63,Debit,Salaries & Benefits - Oct 2024,JE1133,
TXN0004,ACC004,DEPT06,PER001,2024-01-03,10747.11,Credit,Training & Certification Revenue - Jan 2024,JE1003,
TXN0128,ACC002,DEPT06,PER010,2024-10-12,39981.31,Credit,Professional Services Revenue - Oct 2024,JE1127,legacy_flag
TXN0166,ACC012,DEPT03,PER012,12/26/2024,7604.36,Debit,Software & SaaS Tools - Dec 2024,JE1165,
TXN0333,ACC011,DEPT08,PER024,2025-12-28,19971.03,Debit,Rent & Facilities - Dec 2025,JE1332,legacy_flag
TXN0072,ACC002,DEPT06,PER006,2024-06-05,36405.91,Credit,Professional Services Revenue - Jun 2024,JE1071,
TXN0095,ACC011,DEPT08,PER007,2024-07-22,15972.58,Debit,Rent & Facilities - Jul 2024,JE1094,
TXN0049,ACC007,DEPT06,PER004,2024-04-08,47550.21,Debit,Professional Services Delivery - Apr 2024,JE1048,
TXN0206,ACC010,DEPT10,PER015,2025-03-23,,Debit,Travel & Entertainment - Mar 2025,JE1205,
 TXN0045,ACC003,DEPT06,PER004,2024-04-05,26817.45,Credit,Support & Maintenance Revenue - Apr 2024,JE1044,
TXN0168,ACC014,DEPT08,PER012,2024-12-27,8676.56,Debit,Depreciation & Amortization - Dec 2024,JE1167,legacy_flag
TXN0264,ACC012,DEPT03,PER019,2025-07-09,9520.41,Debit,Software & SaaS Tools - Jul 2025,JE1263,
TXN0219,ACC009,DEPT03,PER016,2025-04-23,,Debit,Marketing & Advertising - Apr 2025,JE1218,
TXN0208,ACC012,DEPT01,PER015,2025-03-10,7915.45,Debit,Software & SaaS Tools - Mar 2025,JE1207,legacy_flag
 TXN0322,ACC014,DEPT08,PER023,2025-11-23,7803.38,Debit,Depreciation & Amortization - Nov 2025,JE1321,legacy_flag
TXN0298,ACC004,DEPT06,PER022,2025-10-20,8842.21,Credit,Training & Certification Revenue - Oct 2025,JE1297,
TXN0152,ACC012,DEPT03,PER011,2024-11-17,10317.94,Debit,Software & SaaS Tools - Nov 2024,JE1151,legacy_flag
TXN0173,ACC005,DEPT01,PER013,2025-01-03,47675.02,Debit,Cloud Infrastructure - Jan 2025,JE1172,legacy_flag
TXN0008,ACC008,DEPT02,PER001,01/23/2024,135461.97,Debit,Salaries & Benefits - Jan 2024,JE1007,
 TXN0316,ACC008,DEPT06,PER023,2025-11-28,181465.61,Debit,Salaries & Benefits - Nov 2025,JE1315,
TXN0132,ACC006,DEPT07,PER010,2024-10-22,14186.87,Debit,Third-Party Software Licenses - Oct 2024,JE1131,
TXN0235,ACC011,DEPT08,PER017,2025-05-03,,Debit,Rent & Facilities - May 2025,JE1234,
TXN0084,ACC014,DEPT08,PER006,2024-06-24,6598.17,Debit,Depreciation & Amortization - Jun 2024,JE1083,legacy_flag
TXN0032,ACC004,DEPT06,PER003,2024-03-24,8821.62,Credit,Training & Certification Revenue - Mar 2024,JE1031,
TXN0058,ACC002,DEPT06,PER005,2024-05-11,37886.28,Credit,Professional Services Revenue - May 2024,JE1057,
TXN0099,ACC001,DEPT02,PER008,2024-08-05,241806.45,Credit,Software Subscriptions - Aug 2024,JE1098,
TXN0140,ACC014,DEPT08,PER010,2024-10-01,5166.45,Debit,Depreciation & Amortization - Oct 2024,JE1139,legacy_flag
TXN0240,ACC002,DEPT06,PER018,2025-06-10,71919.89,Credit,Professional Services Revenue - Jun 2025,JE1239,legacy_flag
TXN0259,ACC007,DEPT06,PER019,2025-07-25,57688.85,DEBIT,Professional Services Delivery - Jul 2025,JE1258,
TXN0069,ACC013,DEPT09,PER005,2024-05-02,9116.47,Debit,Legal & Professional Fees - May 2024,JE1068,
 TXN0253,ACC001,DEPT02,PER019,2025-07-06,293744.14,Credit,Software Subscriptions - Jul 2025,JE1252,
TXN0269,ACC003,DEPT06,PER020,2025-08-23,27708.22,Credit,Support & Maintenance Revenue - Aug 2025,JE1268,legacy_flag
TXN0279,ACC013,DEPT09,PER020,2025-08-17,8726.34,Debit,Legal & Professional Fees - Aug 2025,JE1278,
TXN0233,ACC009,DEPT03,PER017,2025-05-23,41153.15,DEBIT,Marketing & Advertising - May 2025,JE1232,
TXN0146,ACC006,DEPT01,PER011,2024-11-07,14723.52,Debit,Third-Party Software Licenses - Nov 2024,JE1145,
TXN0172,ACC004,DEPT06,PER013,2025-01-21,17608.72,Credit,Training & Certification Revenue - Jan 2025,JE1171,
TXN0055,ACC013,DEPT09,PER004,2024-04-23,10452.63,Debit,Legal & Professional Fees - Apr 2024,JE1054,
 TXN0309,ACC001,DEPT02,PER023,2025-11-27,327940.93,Credit,Software Subscriptions - Nov 2025,JE1308,
TXN0291,ACC011,DEPT08,PER021,2025-09-10,22066.55,Debit,Rent & Facilities - Sep 2025,JE1290,
TXN0153,ACC013,DEPT09,PER011,2024-11-22,8048.19,Debit,Legal & Professional Fees - Nov 2024,JE1152,legacy_flag
TXN0005,ACC005,DEPT01,PER001,2024-01-18,36352.6,Debit,Cloud Infrastructure - Jan 2024,JE1004,legacy_flag
TXN0323,ACC001,DEPT02,PER024,2025-12-13,346459.53,Credit,Software Subscriptions - Dec 2025,JE1322,
 TXN0149,ACC009,DEPT03,PER011,2024-11-18,37265.23,Debit,Marketing & Advertising - Nov 2024,JE1148,
TXN0096,ACC012,DEPT07,PER007,2024-07-11,11184.24,Debit,Software & SaaS Tools - Jul 2024,JE1095,
TXN0254,ACC002,DEPT06,PER019,2025-07-28,86718.82,Credit,Professional Services Revenue - Jul 2025,JE1253,
TXN0204,ACC008,DEPT06,PER015,2025-03-23,188189.95,Debit,Salaries & Benefits - Mar 2025,JE1203,
TXN0019,ACC005,DEPT01,PER002,2024-02-06,38796.81,Debit,Cloud Infrastructure - Feb 2024,JE1018,
TXN0091,ACC007,DEPT06,PER007,2024-07-14,40964.0,Debit,Professional Services Delivery - Jul 2024,JE1090,
TXN0214,ACC004,DEPT06,PER016,2025-04-12,24905.97,Credit,Training & Certification Revenue - Apr 2025,JE1213,
TXN0090,ACC006,DEPT01,PER007,07/19/2024,22676.51,Debit,Third-Party Software Licenses - Jul 2024,JE1089,
TXN0020,ACC006,DEPT01,PER002,2024-02-22,13064.28,Debit,Third-Party Software Licenses - Feb 2024,JE1019,
TXN0274,ACC008,DEPT03,PER020,2025-08-27,133409.05,Debit,Salaries & Benefits - Aug 2025,JE1273,
TXN0119,ACC007,DEPT06,PER009,2024-09-12,52031.31,Debit,Professional Services Delivery - Sep 2024,JE1118,
TXN0294,ACC014,DEPT08,PER021,2025-09-11,6502.87,Debit,Depreciation & Amortization - Sep 2025,JE1293,legacy_flag
TXN0046,ACC004,DEPT06,PER004,2024-04-18,10846.97,Credit,Training & Certification Revenue - Apr 2024,JE1045,
 TXN0031,ACC003,,PER003,2024-03-05,23523.99,Credit,Support & Maintenance Revenue - Mar 2024,JE1030,
TXN0147,ACC007,DEPT06,PER011,2024-11-22,38901.73,Debit,Professional Services Delivery - Nov 2024,JE1146,legacy_flag
TXN0165,ACC011,DEPT08,PER012,2024-12-28,15991.7,credit,Rent & Facilities - Dec 2024,JE1164,
TXN0148,ACC008,DEPT02,PER011,2024-11-20,159232.29,Debit,Salaries & Benefits - Nov 2024,JE1147,
TXN0103,ACC005,DEPT01,PER008,2024-08-22,65515.6,Debit,Cloud Infrastructure - Aug 2024,JE1102,legacy_flag
TXN0245,ACC007,DEPT06,PER018,2025-06-04,55266.21,Debit,Professional Services Delivery - Jun 2025,JE1244,
TXN0244,ACC006,DEPT07,PER018,06/09/2025,15365.09,Debit,Third-Party Software Licenses - Jun 2025,JE1243,legacy_flag
TXN0335,ACC013,DEPT09,PER024,2025-12-28,11820.15,Debit,Legal & Professional Fees - Dec 2025,JE1334,
TXN0209,ACC013,DEPT09,PER015,2025-03-13,9667.04,Debit,Legal & Professional Fees - Mar 2025,JE1208,
TXN0081,ACC011,DEPT08,PER006,2024-06-10,20192.97,Debit,Rent & Facilities - Jun 2024,JE1080,
TXN0282,ACC002,DEPT06,PER021,2025-09-01,55328.91,Credit,Professional Services Revenue - Sep 2025,JE1281,
TXN0003,ACC003,DEPT06,PER001,2024-01-19,26698.24,Credit,Support & Maintenance Revenue - Jan 2024,JE1002,
TXN0071,ACC001,DEPT02,PER006,2024-06-07,246636.94,Credit,Software Subscriptions - Jun 2024,JE1070,legacy_flag
TXN0142,ACC002,DEPT06,PER011,2024-11-20,51121.65,Credit,Professional Services Revenue - Nov 2024,JE1141,
TXN0242,ACC004,DEPT06,PER018,2025-06-24,10880.21,Credit,Training & Certification Revenue - Jun 2025,JE1241,
TXN0170,ACC002,DEPT06,PER013,2025-01-15,67612.02,Credit,Professional Services Revenue - Jan 2025,JE1169,
TXN0212,ACC002,DEPT06,PER016,2025-04-28,69162.46,Credit,Professional Services Revenue - Apr 2025,JE1211,
TXN0052,ACC010,DEPT10,PER004,2024-04-25,2656.8,Debit,Travel & Entertainment - Apr 2024,JE1051,legacy_flag
TXN0027,ACC013,DEPT09,PER002,02/13/2024,9190.25,Debit,Legal & Professional Fees - Feb 2024,JE1026,
TXN0120,ACC008,DEPT02,PER009,09/22/2024,113440.63,Debit,Salaries & Benefits - Sep 2024,JE1119,
TXN0327,ACC005,DEPT01,PER024,2025-12-04,52014.58,Debit,Cloud Infrastructure - Dec 2025,JE1326,
