transaction_id,account_id,department_id,period_id,transaction_date,amount,transaction_type,description,journal_entry_id
TXN0235,ACC011,DEPT08,PER017,2025-05-03,20931.89,Debit,Rent & Facilities - May 2025,JE1234
TXN0236,ACC012,DEPT07,PER017,2025-05-23,10060.0,Debit,Software & SaaS Tools - May 2025,JE1235
TXN0237,ACC013,DEPT09,PER017,2025-05-16,6701.97,Debit,Legal & Professional Fees - May 2025,JE1236
TXN0238,ACC014,DEPT08,PER017,2025-05-14,8066.1,Debit,Depreciation & Amortization - May 2025,JE1237
TXN0239,ACC001,DEPT02,PER018,2025-06-12,318804.62,Credit,Software Subscriptions - Jun 2025,JE1238
TXN0240,ACC002,DEPT06,PER018,2025-06-10,71919.89,Credit,Professional Services Revenue - Jun 2025,JE1239
TXN0241,ACC003,DEPT06,PER018,2025-06-24,27218.03,Credit,Support & Maintenance Revenue - Jun 2025,JE1240
TXN0242,ACC004,DEPT06,PER018,2025-06-24,10880.21,Credit,Training & Certification Revenue - Jun 2025,JE1241
TXN0243,ACC005,DEPT01,PER018,2025-06-07,62925.07,Debit,Cloud Infrastructure - Jun 2025,JE1242
TXN0244,ACC006,DEPT07,PER018,2025-06-09,15365.09,Debit,Third-Party Software Licenses - Jun 2025,JE1243
TXN0245,ACC007,DEPT06,PER018,2025-06-04,55266.21,Debit,Professional Services Delivery - Jun 2025,JE1244
TXN0246,ACC008,DEPT03,PER018,2025-06-08,188438.67,Debit,Salaries & Benefits - Jun 2025,JE1245
TXN0247,ACC009,DEPT03,PER018,2025-06-01,34831.94,Debit,Marketing & Advertising - Jun 2025,JE1246
TXN0248,ACC010,DEPT02,PER018,2025-06-09,9059.76,Debit,Travel & Entertainment - Jun 2025,JE1247
TXN0249,ACC011,DEPT08,PER018,2025-06-18,17795.99,Debit,Rent & Facilities - Jun 2025,JE1248
TXN0250,ACC012,DEPT03,PER018,2025-06-21,10215.19,Debit,Software & SaaS Tools - Jun 2025,JE1249
TXN0251,ACC013,DEPT09,PER018,2025-06-04,13164.88,Debit,Legal & Professional Fees - Jun 2025,JE1250
TXN0252,ACC014,DEPT08,PER018,2025-06-16,9596.33,Debit,Depreciation & Amortization - Jun 2025,JE1251
TXN0253,ACC001,DEPT02,PER019,2025-07-06,293744.14,Credit,Software Subscriptions - Jul 2025,JE1252
TXN0254,ACC002,DEPT06,PER019,2025-07-28,86718.82,Credit,Professional Services Revenue - Jul 2025,JE1253
TXN0255,ACC003,DEPT06,PER019,2025-07-13,32694.76,Credit,Support & Maintenance Revenue - Jul 2025,JE1254
TXN0256,ACC004,DEPT06,PER019,2025-07-05,16804.24,Credit,Training & Certification Revenue - Jul 2025,JE1255
TXN0257,ACC005,DEPT01,PER019,2025-07-03,49751.66,Debit,Cloud Infrastructure - Jul 2025,JE1256
TXN0258,ACC006,DEPT01,PER019,2025-07-18,29392.35,Debit,Third-Party Software Licenses - Jul 2025,JE1257
TXN0259,ACC007,DEPT06,PER019,2025-07-25,57688.85,Debit,Professional Services Delivery - Jul 2025,JE1258
TXN0260,ACC008,DEPT06,PER019,2025-07-15,164247.67,Debit,Salaries & Benefits - Jul 2025,JE1259
TXN0261,ACC009,DEPT03,PER019,2025-07-10,33089.9,Debit,Marketing & Advertising - Jul 2025,JE1260
TXN0262,ACC010,DEPT02,PER019,2025-07-20,7982.37,Debit,Travel & Entertainment - Jul 2025,JE1261
TXN0263,ACC011,DEPT08,PER019,2025-07-25,26196.96,Debit,Rent & Facilities - Jul 2025,JE1262
TXN0264,ACC012,DEPT03,PER019,2025-07-09,9520.41,Debit,Software & SaaS Tools - Jul 2025,JE1263
TXN0265,ACC013,DEPT09,PER019,2025-07-08,11243.92,Debit,Legal & Professional Fees - Jul 2025,JE1264
TXN0266,ACC014,DEPT08,PER019,2025-07-06,6669.12,Debit,Depreciation & Amortization - Jul 2025,JE1265
TXN0267,ACC001,DEPT02,PER020,2025-08-23,270160.54,Credit,Software Subscriptions - Aug 2025,JE1266
TXN0268,ACC002,DEPT06,PER020,2025-08-02,68675.09,Credit,Professional Services Revenue - Aug 2025,JE1267
TXN0269,ACC003,DEPT06,PER020,2025-08-23,27708.22,Credit,Support & Maintenance Revenue - Aug 2025,JE1268
TXN0270,ACC004,DEPT06,PER020,2025-08-22,24262.33,Credit,Training & Certification Revenue - Aug 2025,JE1269
TXN0271,ACC005,DEPT01,PER020,2025-08-26,53753.39,Debit,Cloud Infrastructure - Aug 2025,JE1270
TXN0272,ACC006,DEPT01,PER020,2025-08-14,26242.46,Debit,Third-Party Software Licenses - Aug 2025,JE1271
TXN0273,ACC007,DEPT06,PER020,2025-08-21,34304.11,Debit,Professional Services Delivery - Aug 2025,JE1272
TXN0274,ACC008,DEPT03,PER020,2025-08-27,133409.05,Debit,Salaries & Benefits - Aug 2025,JE1273
TXN0275,ACC009,DEPT03,PER020,2025-08-06,27833.86,Debit,Marketing & Advertising - Aug 2025,JE1274
TXN0276,ACC010,DEPT10,PER020,2025-08-24,10133.66,Debit,Travel & Entertainment - Aug 2025,JE1275
TXN0277,ACC011,DEPT08,PER020,2025-08-15,25418.16,Debit,Rent & Facilities - Aug 2025,JE1276
TXN0278,ACC012,DEPT04,PER020,2025-08-23,8805.71,Debit,Software & SaaS Tools - Aug 2025,JE1277
TXN0279,ACC013,DEPT09,PER020,2025-08-17,8726.34,Debit,Legal & Professional Fees - Aug 2025,JE1278
TXN0280,ACC014,DEPT08,PER020,2025-08-03,8429.92,Debit,Depreciation & Amortization - Aug 2025,JE1279
TXN0281,ACC001,DEPT02,PER021,2025-09-24,310980.24,Credit,Software Subscriptions - Sep 2025,JE1280
TXN0282,ACC002,DEPT06,PER021,2025-09-01,55328.91,Credit,Professional Services Revenue - Sep 2025,JE1281
TXN0283,ACC003,DEPT06,PER021,2025-09-25,24964.1,Credit,Support & Maintenance Revenue - Sep 2025,JE1282
TXN0284,ACC004,DEPT06,PER021,2025-09-19,20952.98,Credit,Training & Certification Revenue - Sep 2025,JE1283
TXN0285,ACC005,DEPT01,PER021,2025-09-16,47283.83,Debit,Cloud Infrastructure - Sep 2025,JE1284
TXN0286,ACC006,DEPT07,PER021,2025-09-09,21697.04,Debit,Third-Party Software Licenses - Sep 2025,JE1285
TXN0287,ACC007,DEPT06,PER021,2025-09-21,37419.27,Debit,Professional Services Delivery - Sep 2025,JE1286
TXN0288,ACC008,DEPT01,PER021,2025-09-16,196503.41,Debit,Salaries & Benefits - Sep 2025,JE1287
TXN0289,ACC009,DEPT03,PER021,2025-09-11,36141.02,Debit,Marketing & Advertising - Sep 2025,JE1288
TXN0290,ACC010,DEPT02,PER021,2025-09-11,9181.72,Debit,Travel & Entertainment - Sep 2025,JE1289
TXN0291,ACC011,DEPT08,PER021,2025-09-10,22066.55,Debit,Rent & Facilities - Sep 2025,JE1290
TXN0292,ACC012,DEPT07,PER021,2025-09-27,14698.08,Debit,Software & SaaS Tools - Sep 2025,JE1291
TXN0293,ACC013,DEPT09,PER021,2025-09-15,12693.34,Debit,Legal & Professional Fees - Sep 2025,JE1292
TXN0294,ACC014,DEPT08,PER021,2025-09-11,6502.87,Debit,Depreciation & Amortization - Sep 2025,JE1293
TXN0295,ACC001,DEPT02,PER022,2025-10-28,286187.14,Credit,Software Subscriptions - Oct 2025,JE1294
TXN0296,ACC002,DEPT06,PER022,2025-10-22,66666.85,Credit,Professional Services Revenue - Oct 2025,JE1295
TXN0297,ACC003,DEPT06,PER022,2025-10-14,43462.79,Credit,Support & Maintenance Revenue - Oct 2025,JE1296
TXN0298,ACC004,DEPT06,PER022,2025-10-20,8842.21,Credit,Training & Certification Revenue - Oct 2025,JE1297
TXN0299,ACC005,DEPT01,PER022,2025-10-25,75812.17,Debit,Cloud Infrastructure - Oct 2025,JE1298
TXN0300,ACC006,DEPT07,PER022,2025-10-18,13359.98,Debit,Third-Party Software Licenses - Oct 2025,JE1299
TXN0301,ACC007,DEPT06,PER022,2025-10-15,36076.76,Debit,Professional Services Delivery - Oct 2025,JE1300
TXN0302,ACC008,DEPT06,PER022,2025-10-04,205918.74,Debit,Salaries & Benefits - Oct 2025,JE1301
TXN0303,ACC009,DEPT03,PER022,2025-10-23,24368.69,Debit,Marketing & Advertising - Oct 2025,JE1302
TXN0304,ACC010,DEPT10,PER022,2025-10-01,4572.92,Debit,Travel & Entertainment - Oct 2025,JE1303
TXN0305,ACC011,DEPT08,PER022,2025-10-08,23735.94,Debit,Rent & Facilities - Oct 2025,JE1304
TXN0306,ACC012,DEPT01,PER022,2025-10-15,18515.99,Debit,Software & SaaS Tools - Oct 2025,JE1305
TXN0307,ACC013,DEPT09,PER022,2025-10-16,14925.61,Debit,Legal & Professional Fees - Oct 2025,JE1306
TXN0308,ACC014,DEPT08,PER022,2025-10-17,10536.84,Debit,Depreciation & Amortization - Oct 2025,JE1307
TXN0309,ACC001,DEPT02,PER023,2025-11-27,327940.93,Credit,Software Subscriptions - Nov 2025,JE1308
TXN0310,ACC002,DEPT06,PER023,2025-11-08,65972.79,Credit,Professional Services Revenue - Nov 2025,JE1309
TXN0311,ACC003,DEPT06,PER023,2025-11-13,34416.58,Credit,Support & Maintenance Revenue - Nov 2025,JE1310
TXN0312,ACC004,DEPT06,PER023,2025-11-28,11777.75,Credit,Training & Certification Revenue - Nov 2025,JE1311
TXN0313,ACC005,DEPT01,PER023,2025-11-11,49998.77,Debit,Cloud Infrastructure - Nov 2025,JE1312
TXN0314,ACC006,DEPT07,PER023,2025-11-27,30257.29,Debit,Third-Party Software Licenses - Nov 2025,JE1313
TXN0315,ACC007,DEPT06,PER023,2025-11-27,31601.01,Debit,Professional Services Delivery - Nov 2025,JE1314
TXN0316,ACC008,DEPT06,PER023,2025-11-28,181465.61,Debit,Salaries & Benefits - Nov 2025,JE1315
TXN0317,ACC009,DEPT03,PER023,2025-11-12,29475.94,Debit,Marketing & Advertising - Nov 2025,JE1316
TXN0318,ACC010,DEPT10,PER023,2025-11-13,6291.56,Debit,Travel & Entertainment - Nov 2025,JE1317
TXN0319,ACC011,DEPT08,PER023,2025-11-28,23203.01,Debit,Rent & Facilities - Nov 2025,JE1318
TXN0320,ACC012,DEPT03,PER023,2025-11-19,9954.89,Debit,Software & SaaS Tools - Nov 2025,JE1319
TXN0321,ACC013,DEPT09,PER023,2025-11-02,8947.25,Debit,Legal & Professional Fees - Nov 2025,JE1320
TXN0322,ACC014,DEPT08,PER023,2025-11-23,7803.38,Debit,Depreciation & Amortization - Nov 2025,JE1321
TXN0323,ACC001,DEPT02,PER024,2025-12-13,346459.53,Credit,Software Subscriptions - Dec 2025,JE1322
TXN0324,ACC002,DEPT06,PER024,2025-12-16,95351.18,Credit,Professional Services Revenue - Dec 2025,JE1323
TXN0325,ACC003,DEPT06,PER024,2025-12-17,47155.79,Credit,Support & Maintenance Revenue - Dec 2025,JE1324
TXN0326,ACC004,DEPT06,PER024,2025-12-28,28079.35,Credit,Training & Certification Revenue - Dec 2025,JE1325
TXN0327,ACC005,DEPT01,PER024,2025-12-04,52014.58,Debit,Cloud Infrastructure - Dec 2025,JE1326
TXN0328,ACC006,DEPT07,PER024,2025-12-01,22898.26,Debit,Third-Party Software Licenses - Dec 2025,JE1327
TXN0329,ACC007,DEPT06,PER024,2025-12-28,60897.75,Debit,Professional Services Delivery - Dec 2025,JE1328
TXN0330,ACC008,DEPT02,PER024,2025-12-03,190859.01,Debit,Salaries & Benefits - Dec 2025,JE1329
TXN0331,ACC009,DEPT03,PER024,2025-12-11,42779.62,Debit,Marketing & Advertising - Dec 2025,JE1330
TXN0332,ACC010,DEPT06,PER024,2025-12-21,9183.29,Debit,Travel & Entertainment - Dec 2025,JE1331
TXN0333,ACC011,DEPT08,PER024,2025-12-28,19971.03,Debit,Rent & Facilities - Dec 2025,JE1332
TXN0334,ACC012,DEPT07,PER024,2025-12-11,15552.8,Debit,Software & SaaS Tools - Dec 2025,JE1333
TXN0335,ACC013,DEPT09,PER024,2025-12-28,11820.15,Debit,Legal & Professional Fees - Dec 2025,JE1334
TXN0336,ACC014,DEPT08,PER024,2025-12-08,8996.88,Debit,Depreciation & Amortization - Dec 2025,JE1335
